number,district,zip,ward,from_desc,to_desc,from_addr,to_addr
101,B.P.,02113,3,Cross Street between Commercial Street and Fulton Street,Richmond Street between Commercial Street and Fulton Street,Commercial Street & Cross Street Boston MA 02113,Richmond Street & Fulton Street Boston MA 02113
102,B.P.,02108,3,Creek Square at the rear of 88 Blackstone Street,Marshall Street,88 Blackstone Street Boston MA 02108,Marshall Street Boston MA 02108
301,B.P.,02114,5,92 Pinckney Street,70 River Street,92 Pinckney Street Boston MA 02114,70 River Street Boston MA 02114
303,B.P.,02114,5,46 Pinckney Street,approximately 65 ft SE / 72 ft NE / 74 ft SW (dead end),46 Pinckney Street Boston MA 02114,
401,B.P.,02116,4,8 Garrison Street,St. Botolph Street at Harcourt Street,8 Garrison Street Boston MA 02116,St. Botolph Street & Harcourt Street Boston MA 02116
402,B.P.,02116,4,13 Garrison Street,261 West Newton Street,13 Garrison Street Boston MA 02116,261 West Newton Street Boston MA 02116
403,B.P.,02116,4,10 Cumberland Street,258 West Newton Street,10 Cumberland Street Boston MA 02116,258 West Newton Street Boston MA 02116
404,B.P.,02116,4,1 Cumberland Street,Public Alley No. 405,1 Cumberland Street Boston MA 02116,
405,B.P.,02115,4,238 Huntington Avenue,203 St. Botolph Street,238 Huntington Avenue Boston MA 02115,203 St. Botolph Street Boston MA 02115
414,B.P.,02115,5,11 Hereford Street,opposite 27 Massachusetts Avenue,11 Hereford Street Boston MA 02115,27 Massachusetts Avenue Boston MA 02115
415,B.P.,02115,5,4 Gloucester Street,14 Hereford Street,4 Gloucester Street Boston MA 02115,14 Hereford Street Boston MA 02115
416,B.P.,02115,5,1 Fairfield Street,3 Gloucester Street,1 Fairfield Street Boston MA 02115,3 Gloucester Street Boston MA 02115
417,B.P.,02116,5,5 Exeter Street,8 Fairfield Street,5 Exeter Street Boston MA 02116,8 Fairfield Street Boston MA 02116
418,B.P.,02116,5,328 Dartmouth Street,opposite 5 Exeter Street,328 Dartmouth Street Boston MA 02116,5 Exeter Street Boston MA 02116
